O. Faupula,1924,,date unknown,3,1,0,0
Te. Fifita,1924,,date unknown,3,1,0,0
Afu Fifita,1924,,date unknown,3,1,0,0
Sione Finau,1924,Flanker,date unknown,6,3,1,13
Tevita Finau,1924,,date unknown,3,1,0,0
L. Fineanganofo,1924,,date unknown,3,1,0,0
S. Halahingalo,1924,,date unknown,3,1,0,0
S. Halaholo,1924,,date unknown,3,1,0,0
Taniela Haumono,1924,Lock,date unknown,12,5,2,12
T. Havea,1924,,date unknown,3,1,0,0
Peni Katoa,1924,,date unknown,3,1,0,3
M. Liongitau,1924,,date unknown,3,1,0,0
E. Mo'ungaloa,1924,,date unknown,3,1,0,0
P. Palavi,1924,,date unknown,3,1,0,0
S. Pifalati,1924,,date unknown,2,1,0,0
Sione Selupe,1924,Prop,date unknown,6,3,1,3
Peni Sikalu,1924,,date unknown,3,1,0,0
Sione Simiki,1924,No. 8,date unknown,6,3,1,3
Tevita Tofua,1924,Hooker,date unknown,6,3,0,0
Na'a Tovo,1924,,date unknown,3,1,0,0
Aisea Tupou,1924,,date unknown,3,1,0,0
S. Vaka'uta,1924,,date unknown,3,1,0,0
Sione Kuila,1924,,date unknown,1,0,0,0
Peni 'Ake,1926,Prop,date unknown,3,2,0,0
J. Fakalolo,1926,Lock,date unknown,3,2,0,0
J. Fukofuka,1926,Wing,date unknown,4,3,0,0
Aminiasi Kefu,1926,Wing,date unknown,5,3,1,3
Moahegi Latunipulu,1926,Prop,date unknown,3,2,0,0
Amone Lino,1926,Fullback,date unknown,3,2,0,0
Sione Misa,1926,Fly-half,date unknown,3,2,1,3
Tevita Sitanilei,1926,Scrum-half,date unknown,7,4,0,0
Viliami Taufatofua,1926,No. 8,date unknown,3,2,0,0
Simione Tufui,1926,Wing,date unknown,12,5,2,6
Esei Tu'ipolotu,1926,Centre,date unknown,5,3,0,0
S. Akau'ola,1928,,date unknown,2,1,0,0
Samiuela Fonua,1928,,date unknown,3,2,0,0
Tevita Fuataimi,1928,No. 8,date unknown,6,2,2,6
Fa'aitu Hafoka,1928,No. 8,date unknown,5,1,0,0
Isitolo Hafoka,1928,Fly-half,date unknown,8,2,0,11
L. Kainga,1928,,date unknown,3,2,0,0
T. Langi,1928,,date unknown,1,1,0,0
Sione Leba,1928,Hooker,date unknown,5,1,0,0
F. Mailangi,1928,,date unknown,2,1,0,0
S. Mateaki,1928,,date unknown,2,1,0,0
Suli Moa,1928,,date unknown,2,2,0,0
Osaisai Pepa Koloamatangii,1928,,date unknown,3,2,1,3
Sione T. Puloka,1928,,date unknown,5,2,0,0
Pauli Taumoepeau,1928,,date unknown,3,2,0,0
L. Tu'uta,1928,,date unknown,2,1,0,8
Saia Vaea,1928,,date unknown,3,2,1,3
Sione Finisi Heleta,1928,Prop,date unknown,5,1,0,0
Ilaikimi Omani,1928,Lock,date unknown,5,1,0,0
Sefesi Ata,1928,Wing,date unknown,1,1,0,0
Tevita Alatini,1932,Scrum-half,date unknown,1,0,0,0
Osaiasi Beba,1932,Centre,date unknown,3,0,0,2
Tomasi Soaiti,1932,,date unknown,3,0,0,0
Siosi Tu'itavake,1932,Lock,date unknown,1,0,0,0
Visa Vaka,1932,Prop,date unknown,1,0,0,0
Viliami Vuni,1932,Wing,date unknown,6,1,0,0
Sione Buloka,1932,Centre,date unknown,2,0,0,0
Joasina Kaihau,1932,Wing,date unknown,2,0,0,0
Sione Laiseni,1932,Flanker,date unknown,2,0,0,0
Sione Vikilani,1932,Flanker,date unknown,2,0,1,3
Siu Aisake,1934,,date unknown,3,1,0,0
Masiu Akau'ola,1934,,date unknown,3,1,0,0
Tonga Faleola,1934,Wing,date unknown,3,1,0,0
Simione Fangupo,1934,,date unknown,3,1,0,0
Fine Fifita,1934,,date unknown,3,1,0,0
Lisala Fifita,1934,,date unknown,3,1,0,0
Siua Kaihau,1934,,date unknown,3,1,0,0
Timote Mafi,1934,,date unknown,3,1,0,0
Viliami Moeaki,1934,Centre,date unknown,3,1,0,0
Sione Napa'a,1934,,date unknown,3,1,1,3
Tevita Piukala,1934,,date unknown,3,1,1,3
Henele Taliai,1934,,date unknown,3,1,0,0
Sione Tunufa'i,1934,,date unknown,3,1,0,0
Tevita Unga,1934,,date unknown,3,1,0,0
Tevita Apitani,1947,Centre,date unknown,2,0,0,0
Samiuela Fotu,1947,Centre,date unknown,1,0,0,0
Mesiu Ilolahia,1947,Prop,date unknown,1,0,0,0
Tevita Kaufana,1947,,date unknown,1,0,0,0
Valita Likio,1947,Flanker,date unknown,2,0,0,0
Tongatoutei Ma'u,1947,No. 8,date unknown,2,0,0,3
Valeti Ma'u,1947,Fullback,date unknown,1,0,0,0
Sione Mo'ungalo,1947,Fly-half,date unknown,1,0,0,0
Sini Pouanga,1947,Lock,date unknown,2,0,0,0
Tevita Samiu,1947,,date unknown,1,0,0,0
Makoni Sifa,1947,Hooker,date unknown,1,0,0,0
Kuli Tonga,1947,Scrum-half,date unknown,2,0,0,0
Malakai Tonga,1947,Wing,date unknown,2,0,0,0
Soane Tu'ipulotu,1947,Lock,date unknown,2,0,1,3
Sione Valeli,1947,Prop,date unknown,1,0,0,4
Inoke,1947,,date unknown,1,0,1,3
Malu,1947,,date unknown,1,0,0,0
Tuifio Taufa Aloua,1958,,date unknown,3,1,0,0
Kisione Fifita,1958,Flanker,date unknown,3,1,0,0
Samiu Hala'unga,1958,Centre,date unknown,3,1,0,0
Mafile'o Kefu,1958,Centre,date unknown,7,3,0,7
Sele Latukefu,1958,Lock,date unknown,9,4,0,0
Samiuela Mafana,1958,Flanker,date unknown,7,3,1,3
Lutu Mailangi,1958,Flanker,date unknown,7,3,0,0
Tevita Moli,1958,Prop,date unknown,3,1,0,0
Sione Nauvai,1958,Wing,date unknown,4,2,1,3
Tevita Sika,1958,Fullback,date unknown,3,1,0,0
Sione Tavo,1958,Prop,date unknown,13,5,1,3
Talaiasi Teu,1958,Centre,date unknown,3,1,0,0
Paula Tevi,1958,Wing,date unknown,3,1,0,0
Isikeli Vaka'uta,1958,,date unknown,6,2,0,5
Sione Vunipola,1958,Prop,date unknown,5,2,0,0
Finau Otutoa,1958,Prop,date unknown,2,1,0,0
Pauli Ma'afu,1959,Flanker,date unknown,3,2,0,0
Kalisi Moala,1959,Prop,date unknown,6,2,0,0
Lausi'i Tu'itavake,1959,Hooker,date unknown,4,2,0,0
Samiuela Ula,1959,Scrum-half,date unknown,4,2,1,3
Viliami Vaka'uta,1959,Wing,date unknown,2,2,0,2
Kakalosi Kioa,1959,No. 8,date unknown,2,2,0,0
Lausi'i Fililava,1960,Centre,date unknown,1,1,2,6
Uatesoni Palavi,1960,Fly-half,date unknown,3,1,1,3
Petelo Fa'apoi,1963,Wing,date unknown,1,0,0,0
Panuve Faka'ua,1963,Centre,date unknown,11,3,0,0
Siaosi Selupe,1963,Lock,date unknown,10,4,2,6
Ngalumoetutula Kalaniuvalu,1963,No. 8,date unknown,1,0,0,0
Foua Moala,1963,Prop,date unknown,4,1,1,3
Takai Sime,1963,Wing,date unknown,1,0,0,0
Tamata'ane Tatafu,1963,Wing,date unknown,1,0,0,0
Fetu'ulele,1967,,date unknown,1,0,0,0
Taniela Finau,1967,Prop,date unknown,1,0,0,0
Talitaufa Helu,1967,Scrum-half,date unknown,2,0,1,3
Kimpu 'Inoke,1967,Flanker,date unknown,11,3,3,10
Kei 'Iongi,1967,Wing,date unknown,12,4,2,10
Etuini Kelemeni,1967,Wing,date unknown,3,0,0,0
Tali Latukefu,1967,Fly-half,date unknown,6,1,0,0
Tevita Leger,1967,Flanker,1939,2,0,0,0
Tuilipe Mapa,1967,Scrum-half,date unknown,2,0,0,0
Viliami Pahulu,1967,Hooker,date unknown,9,4,0,16
Samiuela Tatafu,1967,,date unknown,1,0,0,0
Kalani Hafoka,1967,Fullback,date unknown,5,1,2,6
Viliami Hosea,1967,Prop,date unknown,2,0,0,0
Sione Kava,1967,Flanker,date unknown,1,0,0,0
Sione Motuliki,1967,Lock,date unknown,1,0,0,0
Freddie Muller,1967,Scrum-half,date unknown,8,3,1,3
Viliami 'Alipate,1967,No. 8,date unknown,5,2,0,0
Tali Kavapalu,1967,Centre,date unknown,14,6,3,10
George Selupe,1967,Flanker,date unknown,3,1,0,0
Telanisi,1967,,date unknown,1,0,0,0
Supileo Fotu,1968,Flanker,date unknown,5,3,2,6
Fetu'ulele Mailangi,1968,Lock,date unknown,4,2,1,3
Sione Sika,1968,Fullback,date unknown,5,3,0,23
Molou Filimoehala,1968,Hooker,date unknown,5,1,0,0
Taniela Tonga,1968,Wing,date unknown,1,0,0,0
Sione Mafi Pahulu,1969,No. 8,date unknown,14,5,3,29
Sio Motu'apuaka,1969,Prop,date unknown,3,2,0,0
'Uhila Tai,1969,Fly-half,date unknown,2,1,0,0
Vainikolo Vanisi,1969,Wing,date unknown,2,2,0,0
'Inoke Lupina,1969,Hooker,date unknown,2,1,0,0
Malakai 'Alatini,1969,Fly-half,date unknown,12,4,4,14
Sami Latu,1972,Centre,date unknown,10,3,3,12
Taufu'i Moala,1972,Wing,date unknown,1,0,0,0
Kulini Motu'apuaka,1972,Prop,date unknown,1,0,0,0
Ilavalu Taufa,1972,Fullback,date unknown,1,0,0,2
Polutele Tuihalamaka,1972,Lock,circa 1949,14,3,1,4
Fatai Kefu,1972,Fullback,date unknown,6,1,0,0
Eukaliti Hehepoto,1972,Hooker,date unknown,5,2,1,4
Tevita Bloomfield,1973,Prop,date unknown,5,2,0,0
Ha'unga Fonua,1973,Scrum-half,date unknown,7,3,1,4
F. Hufanga,1973,,date unknown,1,1,0,0
Valita Ma'ake,1973,Fullback,date unknown,17,6,0,47
Siope Matapule,1973,Wing,date unknown,2,1,0,0
Fakahau Valu,1973,Flanker,circa 1950,25,7,6,24
Sione Foliaki,1973,Fly-half,date unknown,3,1,0,0
Pasifiki Tonga,1973,Prop,date unknown,1,0,0,0
Fa'aleo Tupi,1973,Lock,date unknown,8,2,1,4
'Isikeli Vave,1973,Wing,date unknown,5,2,4,16
Tuli Kaho,1973,Lock,date unknown,1,0,0,0
Ualeni Pahulu,1973,Prop,date unknown,3,1,0,0
Sitafooti 'Aho,1974,Centre,date unknown,3,1,1,4
Saia Fifita,1974,Prop,date unknown,4,1,3,12
Talilotu Ngaluafe,1974,Wing,date unknown,5,1,4,16
Tevita Pulumufita,1974,Hooker,date unknown,3,1,0,0
Saimone Vaea,1974,Flanker,date unknown,6,1,2,8
Peni Kaihau,1975,Scrum-half,date unknown,4,0,0,0
Sosaia Makalo,1975,Centre,date unknown,1,0,0,0
Hala Maka'ohi,1975,Fly-half,date unknown,8,3,0,0
Vainga Fakatulolo,1975,Prop,date unknown,1,0,0,0
Sateki Tupou,1975,Scrum-half,date unknown,1,0,0,0
Alele Vaihu,1975,Flanker,date unknown,1,0,0,0
Niuselau Tofa Fakauho,1977,Wing,date unknown,3,0,0,0
Mana Hafoka,1977,Lock,date unknown,4,1,0,0
Pangia Katoa,1977,Hooker,date unknown,10,3,0,0
Peni Kiole,1977,Prop,date unknown,7,2,0,5
"Pasuka Mapakaitolo,Snr",1977,No. 8,date unknown,2,0,0,0
Viliami Moala'eua,1977,Centre,date unknown,9,4,1,4
Mosese Tu'ipulotu,1977,Wing,date unknown,3,0,1,4
Viliami Tu'ipulotu,1977,No. 8,date unknown,6,1,1,6
Folafala Vuna,1977,Prop,date unknown,6,1,0,0
Nunu Vahe,1977,Centre,date unknown,1,0,0,0
Sitani Hala'ufia,1977,Flanker,date unknown,5,1,0,0
Sione Alatini,1977,Fly-half,date unknown,3,0,0,0
Satisi Vunipola,1977,Scrum-half,date unknown,4,0,0,0
Molitoni Finau,1979,Centre,date unknown,5,3,2,8
Rocky Fotu,1979,Wing,date unknown,4,1,2,13
Siai Liava'a,1979,Lock,date unknown,4,1,0,0
Peseti Ma'afu,1979,Scrum-half,date unknown,10,4,1,4
Tui'pulotu Viliame,1979,,date unknown,1,0,0,0
Ofa Hiko,1979,Prop,date unknown,1,0,0,0
Alamoni Liava'a,1979,Centre,circa 1959,14,4,3,31
Prince Mailefihi,1979,,date unknown,2,0,0,0
Nofomuli Taumoefolau,1979,Wing,1956,18,4,5,20
Tui'pulotu Maka,1979,Wing,date unknown,3,2,1,4
M. Malu,1979,Flanker,date unknown,1,1,0,0
Malakai Pulumu,1979,Flanker,date unknown,6,4,0,0
Puniani Tu'ipulotu,1979,Hooker,date unknown,2,2,0,7
Mailefihi Tuku'aho,1979,Lock,Nuku'alofa,4,3,0,0
Soane Hola,1979,Lock,date unknown,1,1,0,0
Talanoa Kitekei'aho,1979,Centre,circa 1958,4,1,0,0
Kulikefu Lomu,1979,Centre,date unknown,1,1,0,0
Soakai Motu'apuaka,1979,Prop,circa 1953,3,2,0,0
Semisi Faleafa,1980,Centre,date unknown,1,1,0,0
Fou Ma'afu,1980,Wing,date unknown,9,3,3,12
Fili Moala,1980,Hooker,date unknown,12,5,1,4
Sione Vai,1980,Centre,date unknown,1,1,1,4
Sweet Leilani Fekau,1981,Centre,date unknown,5,1,0,0
Poseisei Havili,1981,Flanker,date unknown,3,1,0,0
Viliami Lutua,1981,Prop,circa 1956,7,1,0,0
Sitini Mahe,1981,Lock,date unknown,3,1,0,0
Paea Moala,1981,Wing,date unknown,3,1,1,4
Soape Nuku,1981,Centre,date unknown,5,2,1,14
Sisi Tu'ipulotu,1981,Prop,date unknown,1,0,0,0
Pohahau Palu,1981,Flanker,date unknown,1,1,0,0
Siale Vai,1981,Fullback,date unknown,4,1,0,9
Sanilaita,1981,Wing,date unknown,1,1,0,0
Amone Fungavaka,1982,Hooker,circa 1957,13,3,1,4
Tu'ikolovatu Halafihi,1982,Fullback,date unknown,5,2,0,3
Liapo Halavatau,1982,Lock,date unknown,2,0,0,0
T. Kapeli,1982,,date unknown,1,0,0,0
Tomasi Lovo,1982,Fly-half,date unknown,9,2,0,40
Laupo Mafileo,1982,Wing,date unknown,1,0,0,0
Feleti Moala,1982,Scrum-half,date unknown,4,2,0,0
Pule Moala,1982,Centre,date unknown,6,1,0,0
Tevita Soane,1982,Lock,date unknown,7,3,0,0
Poese Taukolo,1982,Flanker,date unknown,2,0,0,0
Hakatoa Tupou,1982,Prop,circa 1959,9,1,1,4
Kapelilei Vunipola,1982,Fly-half,date unknown,6,1,0,0
Mesui Fanga'uta,1982,Wing,date unknown,1,0,0,0
Vatuniloka Fifita,1982,No. 8,date unknown,1,0,0,0
Ha'unga Petelo,1982,Fullback,date unknown,1,0,0,0
Feleti Taniela,1982,Wing,date unknown,1,0,0,0
Viliami Vunipola,1982,Centre,date unknown,1,0,0,0
Pau Afeaki,1983,Flanker,date unknown,2,1,0,0
Talai Fifita,1983,Scrum-half,1962,11,2,4,16
Viliami Maka,1983,Lock,date unknown,4,2,0,0
Kouliti Ma'u,1983,Prop,date unknown,5,2,2,8
Laukau Ofa,1983,Wing,date unknown,5,1,0,0
Heneli Pau'u,1983,Prop,date unknown,2,1,0,0
'Otenili Pifeleti,1983,No. 8,date unknown,14,4,1,4
'Ofa Blake,1983,Hooker,date unknown,8,0,0,0
Tohi Leha,1983,Flanker,date unknown,2,0,0,0
Pau'u Lolohea,1983,,date unknown,2,0,0,0
Tu'ihalafatai Ma'afu,1983,,date unknown,2,0,1,4
Takai Makisi,1983,Prop,circa 1962,4,1,0,0
Mo'unga Taufateau,1983,Fullback,date unknown,4,1,1,4
Paula Taholo,1983,Prop,date unknown,1,0,0,0
Sinali-Tui Latu,1984,No. 8,Ha'apai,34,11,4,18
Feao Lavemai,1984,Centre,date unknown,4,2,1,4
Sekona Taufa,1984,Wing,date unknown,1,1,0,0
Tali Ete'aki,1984,Fullback,circa 1963,13,2,0,0
Paula Tupou,1984,No. 8,date unknown,3,0,0,0
Laifai'i Kauhalaniua,1984,Fly-half,date unknown,1,0,0,0
Peni Fakava,1985,Wing,date unknown,2,1,0,0
Manisela Hekeheke,1985,Flanker,date unknown,4,2,0,0
Fetaiaki Langi,1985,Flanker,date unknown,6,2,1,4
Pila Maka,1985,,date unknown,1,1,0,0
Lui Stanley,1985,Centre,date unknown,1,1,0,0
Latu Vaeno,1985,Prop,circa 1959,4,2,0,0
Lausii Hopoate,1986,Wing,date unknown,1,0,0,0
Emosi Koloto,1986,Flanker,1965,1,0,0,0
Funa Moala,1986,Prop,date unknown,1,0,0,0
Samiu Mohi,1986,Centre,circa 1962,6,1,0,0
Mofuike Tu'ungafasi,1986,Lock,circa 1963,5,1,0,0
Vaivao Fa'aumu,1986,Centre,date unknown,4,1,0,0
Maliu Filise,1986,No. 8,circa 1958,4,1,0,0
Popolini Ta'univao,1986,Flanker,date unknown,1,1,0,0
Totilini Tuavao,1986,,date unknown,1,0,0,0
Soane 'Asi,1987,Wing,circa 1963,1,0,0,0
Quddus Fielea,1987,Wing,1966,12,1,2,8
Kasi Fine,1987,Lock,circa 1964,4,0,0,0
Kini Fotu,1987,No. 8,circa 1965,8,1,1,4
Taipaleti Tu'uta,1987,Flanker,circa 1964,8,2,0,0
Sione Tahaafe,1987,No. 8,circa 1958,1,0,0,0
Lemeki Vaipulu,1987,Fly-half,circa 1961,1,0,0,0
Asa Amone,1987,Fly-half,1966,5,0,0,12
Manu Vunipola,1987,Scrum-half,circa 1967,36,12,2,9
Siaosi 'Atiola,1987,No. 8,date unknown,8,1,1,4
Inoke Finau,1987,Prop,date unknown,5,0,0,0
Maimoa Havili,1987,Lock,date unknown,2,0,0,8
Teutau Loto'ahea,1987,Lock,date unknown,18,4,0,0
Kite Tuivailala,1987,Fly-half,date unknown,12,2,0,21
Lopeti Uhatafe,1987,Fly-half,date unknown,2,0,0,5
Semi Ve'ehala,1987,Back-row,date unknown,9,2,0,0
Chris Manu,1987,Scrum-half,date unknown,4,1,0,0
Liueli Fusimalohi,1987,Fullback,circa 1966,5,0,0,0
Tevita Hafoka,1987,Lock,date unknown,1,0,0,0
Kolona Latu,1987,,date unknown,1,0,1,4
Fa'onelua Fakaua,1988,Fly-half,date unknown,1,0,0,0
Kuli Faletau,1988,Lock,1963,20,7,2,9
Fatai Ika,1988,Centre,date unknown,6,1,0,0
Maliepo Toma,1988,No. 8,date unknown,6,0,1,4
Soane Finau,1988,Prop,date unknown,8,2,0,0
Taitusi Halasika,1988,Prop,date unknown,2,0,1,4
Sione Palenapa,1988,Lock,date unknown,8,2,2,10
Hikifo'ou Vaingolo,1988,Centre,date unknown,1,0,0,0
'Asisi Pou'uhila,1988,Centre,date unknown,1,0,0,0
Takitoa Taumoepeau,1988,Wing,date unknown,1,0,0,0
Koloni Tuivailala,1988,Lock,date unknown,1,0,1,4
Fe'ao Vunipola,1988,Hooker,1969,34,13,3,15
